datetime,title,house_type,price,acreage,district,city,bedrooms,wc,house_direction,balcony_direction,description
2023-06-01 09:09:21,MTKD. Miếu Gò Xoài. Bình Tân. 60m2. 5 tầng BTCT. Nhỉnh 4 Tỷ. Giá tốt nhất khu vực.,Nhà riêng,4.8,60,Bình Tân,TP Hồ Chí Minh,3,,,,"+ Kết cấu BTCT 1 trệt 1 lửng 2 lầu sân thượng, 3PN khép kín, 4WC, PK, Bếp, phòng thờ. Nhà đang cho thuê 12tr/tháng.
+ Vị trí mặt tiền đường nhựa, xe tải tránh, thông thoáng. Vừa ở vừa kinh doanh. thông ra Lê Văn Quới, gần ngã 4 bốn xã, thuận tiện di chuyển Tân Bình, Tân Phú, Q6, 11.
+ Pháp lý sạch sẽ, sổ vuông vức, hoàn công đủ. 
+ Chủ ngộp 3.5 tỷ, gấp bán. Giá tốt nhất khu vực."
2023-06-01 09:24:41,"Đất đẹp làng Lệ Mật, phường Việt Hưng, đường ô tô rộng rãi thông nhau, 62m, 5 tỷ 8",Nhà riêng,5.8,62,Long Biên,Hà Nội,,,,,"+ Mảnh đất cực đẹp, vị trí cách mặt phố chỉ 15 bước chân, ngõ thông.
- Khu kinh doanh phân lô ô tô tránh, tiện ích đầy đủ xung quanh, đường trước nhà ô tô ra vào rộng rãi thoải mái.
- Hiện trạng đất để trống, không còn gì mô tả thêm, khách mua về xây 7-8 tầng thang máy đẹp.
- Pháp lý: sổ đỏ chính chủ, không lỗi phong thủy, sang tên ngay.
- Liên hệ: 0965492571(xem nhà và tư vấn miễn phí)"
2023-06-01 09:45:40,"Giảm sốc nhà MTKD, Phân lô, hẻm ô tô thông, 78m2, chỉ vơi 6.8 tỷ Linh Trung Thủ Đức",Nhà mặt phố,68.0,78,Thủ Đức,TP Hồ Chí Minh,,,,,"Giảm sốc nhà MTKD, Phân lô, hẻm ô tô thông, 78m2, chỉ vơi 6.8 tỷ Linh Trung Thủ Đức 
+ 5 phút di chuyển ra mặt tiền đường Lê Văn Chí, đường 10 m thông thoáng sạch sẽ
+ Nhà mới dọn vào ở và kinh doanh ngay gồm 1 trệt , 1 lầu, 2 phòng ngủ, 2 toliet, giếng trời, ban công
+ Khu  dân trí cao , văn minh củakinh doanh đa ngành nghề. Giao thông đi lại thuận tiện,di chuyển nhanh về trung tâm Thành Phố
+ Bán kính 500m Bệnh viện Đa khoa Hoàn Hảo, Đại Học Sư phạm Kỹ Thuật, chung cư , ĐH Nông Lâm
+ Giá chào : 6.8 tỷ ( còn thương lượng)- Pháp lý đầy đủ, công chứng trong ngày.
Liên hệ Mr Ảnh Nhà ngon, giá rẻ Thủ Đức."
2023-06-01 09:59:33,"Nhà cấp 4, đường Lê Văn Chí, P. Linh Trung Thủ Đức, dt 98m2 giá 4,2 tỷ",Nhà,4.2,98,Thủ Đức,TP Hồ Chí Minh,,,,,"Nhà cấp 4, đường Lê Văn Chí, P. Linh Trung Thủ Đức, dt 98m2 giá 4,2 tỷ
- Diện tích: 98,2m2 thổ cư ngang 5m
- Sổ hồng riêng , khu dân cư hiện hữu, đông đúc
- Nhà hiện tại đường ba gác sạch sẽ , thoáng.. 60m ra đường lớn , 
- Nhà gần cty Việt Thắng , bệnh Viện Thủ Đức , trường học mầm non và trường tiểu học – trung học sát bên………
- Ngay khu trung tâm tiện duy chuyển………………..
- Giá bán : 4,2 tỷ ( thương lượng )
- Diện tích: 98m2 thổ cư ngang 5m
Liên hệ : 0898 408 677 xe nhà, làm việc chính chủ"
2023-05-31 11:35:32,"Bán Nhà Riêng Phú Nhuận, Phường 9, Đào Duy Anh, 4 Tầng, 64m2, Đẹp Như Khách Sạn 5S",Nhà riêng,13.5,64,Phú Nhuận,TP Hồ Chí Minh,5,5,,,"Bán Nhà Phú NHuận.
Mô tả:
Mô tả:
+ Vị trí: Liền kề khu Công viên Gia Định, liên kết Phổ Quang, Hồ Văn Huê, Hoàng Minh Giám, Nguyễn Kiệm, vòng xoay Phạm Văn Đồng….
+ Nhà 4 tầng bề thế, đẹp lung linh, ngang 4m dài 16m vuông vức, không lỗi phong thuỷ...
+ Cách Công viên gia định chỉ 2 phút đi bộ, cách sân bay Tân Sơn Nhất chỉ 2 phút đi xe honda. Rất thuận tiện di chuyển qua các quân trung tâm chỉ 5 phút.
+ Tiện ích: Quá nhiều, đầy đủ tất cả các loại hình dịch vụ lớn nhỏ.
+ Sổ chuẩn A4, Hoàn Công đầy đủ, Giao dịch và công chứng ngay.
- Gọi ngay 0935610440 (Zalo) Mr Vinh xem nhà, đất trực tiếp.
- Bất động sản nhà phố Sài Gòn - Nhà đất giá rẻ - Gặp Chính Chủ Thương Lượng
#batdongsannhaphosaigon"
2023-05-31 10:29:19,TÂY THẠNH - NGANG HIẾM 5.3M NỞ HẬU - 2 TẦNG SỬA MỚI - CHO THUÊ 5 TRIỆU - GIẢM 4.5 TỶ XUỐNG 3.8 TỶ,Nhà,,47,Tân Phú,TP Hồ Chí Minh,2,,,,"Mô tả:
+ DT: 47m2 - 5.3 x 10m, nở hậu 5.5 m.
+ Hiện trạng : 1 trệt 1 lầu, có 2PN.
+ Sổ hồng hoàn công đầy đủ, Vuông vức nở hậu.
+ Hiện cho thuê 5 triệu/tháng."
2023-05-31 11:27:05,"Bán Nhà Riêng Phú Nhuận, Phường 9, Đào Duy Anh, 4 Tầng, 64m2, Đẹp Như Khách Sạn 5S",Nhà riêng,13.5,64,Phú Nhuận,TP Hồ Chí Minh,5,5,,,"Bán Nhà Phú NHuận.
Mô tả:
Mô tả:
+ Vị trí: Liền kề khu Công viên Gia Định, liên kết Phổ Quang, Hồ Văn Huê, Hoàng Minh Giám, Nguyễn Kiệm, vòng xoay Phạm Văn Đồng….
+ Nhà 4 tầng bề thế, đẹp lung linh, ngang 4m dài 16m vuông vức, không lỗi phong thuỷ...
+ Cách Công viên gia định chỉ 2 phút đi bộ, cách sân bay Tân Sơn Nhất chỉ 2 phút đi xe honda. Rất thuận tiện di chuyển qua các quân trung tâm chỉ 5 phút.
+ Tiện ích: Quá nhiều, đầy đủ tất cả các loại hình dịch vụ lớn nhỏ.
+ Sổ chuẩn A4, Hoàn Công đầy đủ, Giao dịch và công chứng ngay.
- Gọi ngay 0935610440 (Zalo) Mr Vinh xem nhà, đất trực tiếp.
- Bất động sản nhà phố Sài Gòn - Nhà đất giá rẻ - Gặp Chính Chủ Thương Lượng
#batdongsannhaphosaigon"
2023-05-31 11:23:19,"Bán nhà gác lửng 110m2 SHR thổ cư đường ô tô (P. An Bình) chỉ 2,7 tỉ",Nhà riêng,2.7,110,Biên Hòa,Đồng Nai,2,2,,,"???????? Bán nhà gác lửng 110m2 SHR thổ cư đường ô tô (P. An Bình)
+ Vị trí: Gần chợ cơ khí,cách đường Hàn Thuyên vài bước chân
+ Diện tích: 4x17m (nở hậu 6m)
+ Sổ hồng riêng thổ cư 100%
+ Nhà có gác lửng xây dựng kiên cố chắc chắn gồm: 1 phòng khách,2 phòng ngủ,nhà bếp,2 tolet và sân đậu ô tô... Đường ô tô chạy vi vu"
2023-05-31 11:19:45,"Bán nhà khu VIP đồng bộ, HXT, 2 tầng, 50m2( 5×10) Trường Thọ Thủ Đức chi hơn 4 tỷ",Nhà mặt phố,47.0,50,Thủ Đức,TP Hồ Chí Minh,,,,,"HẺM XE BÁN TẢI VÀO NHÀ - KHU DÂN TRÍ CAO - TOÀN NHÀ LẦU XE HƠI - THÍCH HỢP MUA Ở. 
Bán nhà khu VIP đồng bộ, HXT, 2 tầng, 50m2( 5×10) Trường Thọ Thủ Đức chi hơn 4 tỷ 
+ Kết cấu: 2 tầng, 2 PN, 2 toliet, ban công, giếng trời đủ công năng. 
+ Hẻm ô tô 1 trục, di chuyển nhanh Đặng Văn Bi, Võ Văn Ngân. 
+ Khu VIP Trường Thọ, tiện ích bủa vây, thích hợp an sinh.
+ Pháp lý chuẩn,công chứng sang tên ngay.
+ Giá chỉ với 4,7 tỷ( còn thương lượng)
Gọi ngay Mr Ảnh 0905238089 nhà phố"
2023-05-31 11:16:10,Nhà ĐẸP 48m2X5T KĐT Văn Khê- Ô Tô đỗ cửa- Vỉa Hè Rộng Rãi- KD Sầm Uất- Nhỉnh 6 tỷ,Nhà riêng,6.7,48,Hà Đông,Hà Nội,4,3,Đông-Nam,,"LIỀN KỀ 48M2 X 5 TẦNG - KĐT VĂN KHÊ
- ĐƯỜNG 2 Ô TÔ TRÁNH – KINH DOANH CÁC LOẠI HÌNH- PHÂN LÔ VỈA HÈ RỘNG RÃI
- giá: Nhỉnh 6 tỷ ( có thương lượng )
- Sổ đỏ vuông vắn, chính chủ

- Nhà hướng Đông Nam mát mẻ
- Nhà chủ tự xây tâm huyết, chủ làm ăn lộc lá chuyển biệt thự ở
- Vỉa hè rộng rãi, thích hợp KD buôn bán, cho thuê ngồi thu tiền...

- Cam kết: Không thu bất cứ loại phí gì kể cả giao dịch thành công.
- Miễn tiếp trung gian và môi giới.
- Liên hệ “E Quang NHÀ ĐẸP” nhiệt tình để đi xem nhà ngay: 0972 397 793"
2023-05-31 11:10:24,"Hxh Điên Biên Phủ 2 lầu 6,7 tỷ 4x11 P17 Bình Thạnh",Nhà riêng,6.7,44,Bình Thạnh,TP Hồ Chí Minh,3,4,,,"6,7 tỷ Hxh Đien Biên Phủ 2 lầu 4x11 Phường 17 Bình Thạnh

+ 3 lầu sân thượng 3 phòng ngủ, 4wc kiên cố cho thuê 15tr
+ Ngay Hàng Xanh, Xô Viết Nghệ Tĩnh 
+ Sổ hồng riêng vuông vức, hoàn công"
2023-05-31 10:56:10,"Hết ý bài thơ,Phúc Diễn,33m2,4T,3.9 tỷ,Nam Từ Liêm",Nhà riêng,3.9,33,Nam Từ Liêm,Hà Nội,,3,,,"+ Khu vực giá trị, trung tâm, nhiều tiện ích
+ Hạ tầng phát triển chóng mặt
+ Ngõ trước cửa 03 ô tránh nhau thoải mái
+ Lô góc 2 mặt thoáng đón ánh nắng ngập tràn
+ Khu vực an ninh, dân trí cao
+ Sổ đỏ cất két


Liên hệ: 0379809132"
2023-05-31 10:54:44,"Bán nhà ngõ 117 phố Thái Hà mặt tiền rộng 8m, 2 thoáng, KD sầm uất 60m2x5T giá chỉ 7,6 tỷ",Nhà riêng,,,Đống Đa,Hà Nội,,,,,"Bán nhà ngõ 117 phố Thái Hà mặt tiền rộng 8m, 2 thoáng, KD sầm uất 60m2x5T giá chỉ 7,6 tỷ
- Gia đình chuyển sang ở biệt thự nên cần bán nhanh căn nhà xây tâm huyết.
- Nhà thuộc tuyến phố Thái Hà trung tâm quận Đống Đa, buôn bán sầm uất. Nhà trong ngõ nông cực thoáng với 2 mặt ngõ trước sau. Cách ô tô đỗ chỉ vài mét.
- Trước nhà có sân cực rộng có thể để được nhiều xe. 
- Diện tích 60m2 với mặt tiền cực khủng tới gần 8m mà hiếm căn nhà ở khu vực có được.
- Thiết kế 05 tầng chắc chắn, tận dụng mọi công năng sử dụng:
+ Tầng 1: Phòng rộng để kinh doanh.
+ Tầng 2: Phòng khách + phòng ngủ + bếp + vệ sinh.
+ Tầng 3: 02 phòng ngủ + vệ sinh.
+ Tầng 4: phòng thờ + phòng ngủ + vệ sinh.
+ Tầng 5: Sân thượng có vườn + bàn trà.
- Sổ vuông đẹp, sẵn sàng giao dịch.
=== Giá chỉ 7,6 tỷ
====== Liên hệ xem nhà: Kim Thường 0973.114.938 – Tư vấn TẬN TÂM – NHIỆT TÌNH."
2023-05-31 10:53:36,"Nhà mới xây như hình, 7 tầng thang máy, oto vào nhà, ở ngay phố Thái Hà chỉ 13,39 tỷ",Nhà riêng,,,Đống Đa,Hà Nội,,,,,"Nhà mới xây như hình, 7 tầng thang máy, oto vào nhà, ở ngay phố Thái Hà chỉ 13,39 tỷ
- Gia đình chuyển công tác cần bán nhanh:
- Nhà nằm ngay đầu ngõ rộng phố Thái Hà, trung tâm quận Đống Đa, gần các tuyến phố lớn, có nhiều tiện ích và dịch vụ: trường học, trung tâm thương mại, rạp chiếu phim,…
- Oto vào nhà thoải mái là một lợi thế rất lớn cho gia đình có oto để di chuyển.
- Nhà mới xây, 7 tầng thang máy với diện tích 50m2 mặt tiền KHỦNG 5,94m
- Nội thất hiện đại, thiết kế đầy đủ các công năng sử dụng. Rất phù hợp với nhu cầu vừa ở, vừa làm văn phòng kinh doanh của gia chủ.
- Pháp lí chuẩn, thiện chí bán
=== Giá bán 13,39 tỷ
=== Liên hệ xem nhà trực tiếp: Kim Thường 0973.114.938 – Tư vấn TẬN TÂM – NHIỆT TÌNH."
2023-05-31 10:48:49,"Hxh 7,5 tỷ Ung Văn Khiêm 4,2x15 P25 Bình Thạnh",Nhà riêng,7.5,63,Bình Thạnh,TP Hồ Chí Minh,3,3,,,"Hot 7,5 tỷ Hxh Ung Văn Khiêm 4,2x15 P25 Bình Thạnh 

+ 2 tầng hẻm 6m oto vô nhà, ĐÔNG TỨ TRẠCH, an ninh dân trí 
+ Ngay Nguyễn Văn Thương, hàng xanh sầm uất, 3PN 3WC
+ Ở liền hay xây mới ok tất, đang cho thuê nhẹ 20tr đông khách"
2023-05-31 10:42:05,"Bán gấp nhà VIP, MTKD cực hiếm 10m Lê Văn Chí, 2 tầng , 77m2 Thủ Đức chỉ 6 tỷ xx.",Nhà mặt phố,,,Thủ Đức,TP Hồ Chí Minh,,,,,"Bán gấp nhà VIP, MTKD cực hiếm 10m Lê Văn Chí, 2 tầng , 77m2 Thủ Đức chỉ 6 tỷ xx.
+ Kết cấu: Nhà mới 1 trệt 1 lầu 2 phòng ngủ, có giếng trời sáng thoáng, chỉ xách vali vào là ở ngay.
+ Mặt tiền Hẻm thông kinh doanh 10m vỉa hè, Khu phố Sầm uất Linh Trung
+ Khu an ninh, dân trí Lê Văn Chí, kinh doanh đa ngành nghề. 
+ Gần Bệnh viện Đa khoa Hoàn Hảo, Khu GT suối tiên, Trường ĐH Nông Lâm , gas Metro số 1.
+ Giá chào : 6.9 tỷ( thương lương) - Sổ hồng công chứng trong ngày.
Gọi ngay Mr Ảnh Nhà phố Thủ Đức."
2023-05-31 10:40:18,NHÀ ĐẸP NGANG TRÊN 6M THIẾT KẾ HIỆN ĐẠI - HẺM 4m - ĐƯỜNG NGHĨA PHÁT - GẦN NHÀ THỜ NGHĨA HÒA 100m. GIÁ CHỈ 8.2 TỶ,Nhà,8.2,69,Tân Bình,TP Hồ Chí Minh,7,7,,,"Mô tả:
* Kết cấu : 6.1 × 12m. 1 trệt , 3 lầu + sân thượng (đúc kiên cố), 7 Phòng ngủ, 7 tole. Nhà thiết kế hiện đại, đầy đủ tiện nghi, mới đẹp sang chảnh.

* Tiện ích : khu vực nhiều Nhà Thờ, cách Chợ Nghĩa Hòa 30m, siêu thị, trường học Cấp 1,2,3. An ninh dân trí...

* Nhà đang cho thuê full 6 phòng thu nhập 20tr /tháng.

* Sổ hồng T7.2022 chính chủ, công chứng trong ngày.
* Giá : 8.2 tỷ. TL"
2023-05-31 10:27:44,"BÁN NHÀ HẺM 1/ RẺ NHẤT  TỈNH LỘ 43 NGAY CHỢ ĐẦU MỐI THỦ ĐỨC, DIỆN TÍCH KHỦNG 133m2, GIÁ 6.6 TỶ TL MẠNH.",Nhà,6.6,,Thủ Đức,TP Hồ Chí Minh,2,1,,,"???? Mô tả:
- Diện tích: 133m2 
                  6.4/6.5m x 17m.
- Nhà C4 mới đẹp. 2PN, 1WC. Hiện đang cho thuê 7tr/1 tháng.
- Vị trí ngay tỉnh lộ 43, gần kề 3 trường học, ngay chợ đầu mối Thủ Đức. 
- Giáp với Bình Dương.
- HXH thông, an ninh. 
- Nhà mới chắc chắn, vuông vức.
- Sổ hoàn công đầy đủ, công chứng ngay."
2023-05-31 10:27:24,"Hết ý bài thơ,Hồ Tùng Mậu,52m2,5T,5.85 tỷ,Cầu Giấy",Nhà riêng,5.85,,Cầu Giấy,Hà Nội,3,4,,,"+ Khu vực giá trị, nhiều tiện ích
+ Em nó qua sát Hồ Tùng Mậu, đi nhẹ vài bước chân
+ Ngõ thông thoáng, an ninh, dân trí cao
+ Vuông vắn, không lỗi lầm
+ Khu vực đông sinh viên Sư Phạm,Quốc Gia, Báo Chí,Thương Mại
+ Sổ đỏ cất két

Liên hệ: 0379809132"
2023-05-31 10:09:06,"Sở hữu ngay nhà phố liền kề, thuận lợi kinh doanh sầm uất tại Centa Vsip Bắc Ninh",Nhà mặt phố,5.1,75,Từ Sơn,Bắc Ninh,,,,,"????Căn shophose được xây dựng 4 tầng đã hoàn thiện bên ngoài, để thô bên trong thu hút dân cư kéo đến ở, đáp ứng nhu cầu giãn dân, hấp dẫn các nhà đầu tư
✅Vị trí: khu đô thị đặc biệt thuận tiện kết nối giao thương tiếp giáp với 3 đường cao tốc lớn , 3 khu công nghiệp liên hoàn, nơi tập trung nhiều kỹ sư, công nhân lao động làm việc
♻️Diện tích: 75 m2 đất, tổng 4 sàn 210 m2
(clover) Môi trường sống xanh, rất thuận tiện để ở gia đình, kinh doanh, cho thuê
✅ Pháp lý chuẩn, có hợp đồng mua bán, chủ đầu tư uy tín
✅ Ngân hàng hỗ trợ cho vay
✅ An ninh 5 lớp, an toàn
☎️ liên hệ để tư vấn xem nhà: Đoàn Toan  0363 444 022"
2023-05-31 09:04:24,KHU VỰC HIẾM NHÀ BÁN - HẺM BA GÁC THÔNG - NHỈNH 4 TỶ,Nhà,,24,Quận 3,TP Hồ Chí Minh,2,2,,,"Mô tả:

+ Nhà 1 trệt 2 lầu, 2PN 2WC.

+ Hẻm ba gác thông, cách HXH tầm 50m. Ngay khu trung tâm của trung tâm.

+ Ngay gần cầu Công Lý, chùa Vĩnh Nghiêm giáp Q1, Phú Nhuận di chuyển trung tâm hay sân bay đều tiện lợi."
2023-05-31 09:53:20,"Nhà bán, 1 lầu 1 trệt, 3 PN, 2 WC, giá 4.9 tỷ",Nhà,4.9,52,Gò Vấp,TP Hồ Chí Minh,3,2,,,"Mô tả: 

????Đường trước nhà: HXH 3.7m

????Kết cấu & Công năng: 1 trệt, 1 lầu, 3PN, 2WC.

????Nội thất: Cơ bản 

????Pháp lý: Sổ hồng riêng."
2023-05-31 09:50:07,Bảo vệ gia đình bạn với Camera EZVIZ C6N - An ninh tối đa cho hộ gia đình,Nhà mặt phố,,200,Phan Rang - Tháp Chàm,Ninh Thuận,,,,,"### Gia đình là tài sản quý giá nhất trong cuộc sống của chúng ta, và việc đảm bảo an ninh cho gia đình là một ưu tiên hàng đầu. Vì vậy, hãy để Camera EZVIZ C6N trở thành người bạn đồng hành tin cậy của bạn trong việc bảo vệ và giám sát căn nhà của mình.

### Camera EZVIZ C6N mang đến một giải pháp an ninh toàn diện cho hộ gia đình. Với khả năng quay 360 độ mượt mà, camera này cho phép bạn giám sát toàn bộ không gian sống của mình chỉ trong một lần nhìn. Không còn sự lo lắng về việc bỏ sót bất kỳ góc nào, EZVIZ C6N đảm bảo rằng bạn luôn có mắt thứ ba để bảo vệ và chăm sóc gia đình mình.

### Được trang bị công nghệ tiên tiến, Camera EZVIZ C6N cung cấp chất lượng hình ảnh sắc nét và độ phân giải cao, cho phép bạn xem trực tiếp hoặc xem lại từ xa trên điện thoại thông minh của bạn. Bạn có thể dễ dàng kiểm soát và kết nối với gia đình mọi lúc, mọi nơi. Đặc biệt, EZVIZ C6N tích hợp công nghệ thông minh AI, cho phép phát hiện chuyển động và gửi thông báo ngay lập tức đến điện thoại của bạn khi có hoạt động bất thường xảy ra trong khu vực giám sát.

### Sự tiện lợi và linh hoạt cũng là điểm mạnh của Camera EZVIZ C6N. Bạn có thể điều chỉnh góc nhìn và quay camera từ xa thông qua ứng dụng di động, cho phép bạn theo dõi và giám sát gia đình mình một cách linh hoạt và thuận tiện. Bất kể bạn ở đâu, EZVIZ C6N sẽ giúp bạn giữ liên lạc và bảo vệ gia đình yêu thương của mình.

### Không còn điều gì quan trọng hơn việc bảo vệ gia đình bạn. Hãy lựa chọn Camera EZVIZ C6N để mang đến sự an toàn và yên tâm tuyệt đối cho hộ gia đình của bạn.

### Liên hệ với chung tôi qua Hotline: 0932112503 để được tư vấn chọn giải pháp phù hợp."
2023-05-31 09:48:37,"NGUYỄN ĐÌNH CHIỂU Q3, NHÀ ĐẸP 5 TẦNG, HẺM TO, ĐANG CHO THUÊ HƠN 20Tr",Nhà riêng,6.0,39,Quận 3,TP Hồ Chí Minh,,,,,"Mô tả:
+ Diện tích đất 39m2, giá rất mềm. Nhà cực thoáng, ánh sáng, gió tự nhiên lúc nào cũng tràn ngập trong nhà.
+ Vị trí đắc địa nhất trung tâm thành phố, ngay gần công viên, gần dinh Độc Lập, đầy đủ các tiện ích hiện đại nhất. Hẻm 3m.
+ Nhà 1 trệt 4 lầu mới đẹp kiên cố. Đầy đủ tiện nghi để cho thuê, đẹp long lanh. Tầng 2 làm bếp, tầng 1 kinh doanh.
+ Khu vực trung tâm, giá trị sẽ tăng cao. Đầu tư có lời ngay.
+ Dân cư dân trí cao, an ninh cực tốt. Giá nhà sẽ tăng cao. Giá mềm tại khu vực.
Cần thông tin thêm liên hê: 0354095924"
2023-05-31 09:45:57,Nhà khu VIP- Phân lô- ô tô- sổ HC vuông vức- 3 tầng- 50m2- chỉ với 5.9 tỷ Trường Thọ,Nhà mặt phố,59.0,50,Thủ Đức,TP Hồ Chí Minh,,,,,"Nhà khu VIP- Phân lô- ô tô- sổ HC vuông vức- 3 tầng- 50m2- chỉ với 5.9 tỷ Trường Thọ.
+ Kết cấu: 1 trệt 2 lầu ,3 p ngủ, 4 wc, P thờ, P.Khách,P.Bếp, Sân thượng. 
+ Nằm trong khu dân cư cao cấp Trường Thọ, ngay trung tâm TP.Thủ Đức 
+ Pháp lý: Sổ vuông đét, hoàn công đầy 
+ Giá chào : 5.75 tỷ ( thương lượng)
+ Đặt biệt chủ nhà tặng toàn bộ nội thất cao cấp gồm bộ bàn ghế sô pha, bộ bàn ăn, tủ bếP, tủ quần áo, giường ngủ, kệ TV. cho khách thiện chí 
Nhanh tay gọi ngay Mr Ảnh Nhà phố Thủ Đức."
2023-05-31 09:32:25,"6.x tỷ sở hữu ngay căn biệt thự siêu đẹp, đáng sống tại tp Từ Sơn",Nhà mặt phố,6.9,135,Từ Sơn,Bắc Ninh,,,,,"????????căn biệt thự song lập 135 m2 tại KĐT Vsip, Từ Sơn, Bắc Ninh tiếp giáp với Ninh Hiệp, Gia Lâm, nơi tập trung 3 khu công nghiệp liên hoàn phát triển kinh tế, tiếp giáp 3 đường cao tốc lớn thuận tiện di chuyển kết nối giao thương
♻️ Diện tích: 135m2, 1 sàn 67m2
✅Tổng 3 sàn: 206m2
✅ Đường trước nhà rộng 12 m rộng rãi, để ô tô   
✅ Chủ đầu tư uy tín                                                                                                  
✅ Pháp lý đầy đủ, rõ ràng, lâu dài
????Môi trường sống xanh, cộng đồng văn minh, công viên nội khu rộng, thuận tiện vui chơi, giải trí, thể thao...

☎️ liên hệ tư vấn và xem nhà: 
Đoàn Toan 0363 444 022"
2023-05-31 09:28:26,"Hoa Hậu Phân Lô, Quận Thanh Xuân, Gần phố, nhà đẹp. 64m x4T.MT4m",Nhà riêng,7.15,64,Thanh Xuân,Hà Nội,4,3,,,"+ Chủ nhà người quen cần bán căn nhà Phường Mai, Quận Thanh Xuân. nhà xây mơi toanh sẵn về ở, khung cột chắc chắn, trước nhà khoảng sân rộng để được 4-6 xe máy.  chỉ 50m ra oto, khu vực phân lô quân đội, dân trí quan trức nhà nước, văn minh yên tĩnh, an sinh đỉnh cao. gara oto ngay gần nhà. chủ nhà toàn bộ nội thất
+kết nôi nhiều phố vip như : Hoàng Văn Thái, Tô Vĩnh DIện, Nguyễn Ngọc Nại, Cù Chính Lan, Lê Trọng Tấn, Nguyễn Viết Xuân
+ DT 64m x4 tầng. MT 4m. giá chào 7,x tỷ(Thương lượng Mạnh). 
+ Sổ đỏ chính chủ, pháp lý chuẩn. khách đến là sang tên.
Liên hệ trực tiếp E Vũ 0333040265. Xem nhà và Gặp Chính chủ
(Chuyên Thanh Xuân)."
2023-05-31 09:20:56,HẺM XE HƠI 4M5 - TRUNG TÂM GÒ VẤP - 4X12M - CHỈ 4.95 TỶ - PHÂN KHÚC CỰC HIẾM,Nhà,,,Gò Vấp,TP Hồ Chí Minh,2,2,,,"Mô tả:
- Diện tích vuông A4, xây hết đất
- Kết cấu 1 trệt 1 lầu, 2PN, 2WC, khách và bếp rộng rãi
- Hẻm xe hơi khu dân cư dân trí, trước nhà rộng 4m5.
- Tiện ích ngay trung tâm Gò Vấp không thiếu thứ gì
- Phân khúc cực hiếm dưới 5 tỷ có Hẻm xe hơi, nhà đẹp, khu vực đẹp."
2023-05-31 09:02:56,"Nhà bán, 1 tầng 1 trệt,  2PN, 2 WC, giá 4.75 tỷ",Nhà,4.75,48,Gò Vấp,TP Hồ Chí Minh,2,2,,,"Mô tả:

????Đường trước nhà: 2.5m trải nhựa, cách hẻm 4m chỉ 20m, cách MT chỉ 100m.

????Kết cấu: 1 trệt, 1 lầu, 2PN lớn, 2WC, ban công, cửa sổ trời.

????Công năng: Mua ở hoặc đầu tư kinh doanh cho thuê.

????Nội thất: Cơ bản 

????Pháp lý: Sổ hồng riêng."
2023-05-31 08:59:21,"Biệt Thự Bồ Đề, hướng view hồ, thoáng rộng ô tô tránh, kinh doanh, 125m, mặt: 10m, 20 tỷ",Nhà riêng,20.0,125,Long Biên,Hà Nội,,,,,"- Vị trí nhà mình bán đẹp, hướng view hồ Bồ Đề cực kỳ thoáng, kinh doanh tốt, đường rộng ô tô tránh nhau
- Gần chợ, trường tiểu học, nhà văn hóa bồ đề, tiện ích quanh nhà chỉ vài bước đi bộ, khu dân trí.
+ Thiết kế tầng 1 Khách, Bếp, gara trong nhà đang làm kho rộng.
+ Tầng 2: thiết kế 3 ngủ.
+ Tầng 3: có 1 phòng ngủ, thờ và sân phơi.
+ Sổ đỏ cất két sẵn sàng giao dịch.
- Liên hệ: 0965492571(xem nhà và tư vấn miễn phí)"
2023-05-31 08:45:21,NHÀ NHỎ - ĐẸP NGAY TT QUẬN PHÚ NHUẬN - NHỈNH 4 TỶ,Nhà,,37,Phú Nhuận,TP Hồ Chí Minh,1,2,,,"Mô tả:
- Diện tích: 37,2m2. 2.9 x 17m.
- Kết cấu: 1 Trệt, 1 Lầu. Gồm: 1PN, 2 WC. Có thể cải tạo thêm PN.
- Vị trí: Nhà ngay TT Quận Phú Nhuận. Đi bờ kè 10 bước chân. Ngay chợ, gần nhà sách lớn, gần  Fshasa, gần bưu điện v..v..
- Chủ tặng nội thất cho khách thiện chí mua.
- Phù hợp cho gia đình 4 đến 5 người ở. Khách mua thuận tiện cho thuê để tạo dòng tiền thu nhập."
2023-05-31 08:29:16,"Nhà dưới 5 tỷ, Lê Văn Thọ Phường 13 Gò Vấp, 61m2, 2 tầng chỉ 4.8 tỷ",Nhà riêng,4.8,61,Gò Vấp,TP Hồ Chí Minh,3,2,,,"MS 12923
* Vị trí: nhà hẻm đường Lê Văn Thọ Phường 13 Gò Vấp, gần Phạm Văn Chiêu, Lê Đức Thọ. Khu vực nhiều dịch vụ tiện ích xung quanh, thuận tiện đi Tân Bình vào Trung tâm TP, Q12, Hóc Môn v.v.
* Diện tích 61m2, 2 tầng, gồm 1 trệt 1 lầu với 3 phòng ngủ, 2 WC.
* Đường trước nhà sạch sẽ, hẻm thông. Hàng xóm thân thiện.
* Sổ hồng riêng, pháp lý sạch, công chứng nhanh."
